neighborhood,price,beds,baths,extra,state,locality,lga,hood,zipcode
behind blenco super market sangotedo ajah lagos,950000,2,2,2 bedroom flat / apartment for rent behind blenco super market sangotedo ajah l.. ,Lagos,Sangotedo,Eti Osa,Eti-Osa,
masha surulere lagos,1600000,3,2,servicedfor rent... a serviced & executive 3bedroom flat(upstairs) for rent.. location.. ,Lagos,Lagos,Surulere,Ikate,
off shorprite roadosapa london lekki lagos,1500000,1,2,newly built1 bedroom mini flat mini flat flat / apartment for rent off shorprite road osap.. ,Lagos,Lagos,Eti Osa,Lekki Penninsula II,
palmgroovepalmgroove shomolu lagos,800000,2,2,lovely.. ,Lagos,Lagos,Mushin,Onipanu,
pedropalmgroove shomolu lagos,1400000,3,2,newly builtlovely.. ,Lagos,Lagos,Shomolu,Pedro,
arowojobe estate mende marylandmende maryland lagos,600000,1,1,nice miniflat at arowojobe estate mende maryland for rent 600k.. ,Lagos,Lagos,Kosofe,Kosofe,
somoluonipanu shomolu lagos,450000,1,1,newly builtlovely.. ,Lagos,Lagos,Shomolu,Somolu,
bailey abule ijesha yaba lagos,650000,1,1,furnished serviced newly builtthis is a lovely newly built miniflat @ abule ijesha yaba with 2 toilet and bath.. ,Lagos,Lagos,Shomolu,Igbobi,100001
thomas estate ajah lagos,700000,1,1,grab your room and parlour with executive standard 2 toilets house rent 700k .. ,Lagos,Lekki,Eti Osa,Eti-Osa,
off herbert macaulay waysabo yaba lagos,1500000,2,2,"ground floor of a duplex consisting 2 ensuite rooms, a lounge and sitt.. ",Lagos,Lagos,Lagos Mainland,Sabo yaba,
peace estateoregun ikeja lagos,2500000,4,4,serviced4 bedroom terrace duplex 2 sitting rooms with a room boy quarter all rooms ensui.. ,Lagos,Lagos,Ikeja,Oregun,
fola agoro yaba lagos,1500000,1,2,newly builta newly built & tastefully finished 2bedroom & miniflat for rent... features .. ,Lagos,Lagos,Shomolu,,
ebute mettaadekunle yaba lagos,300000,1,1,newly builtlovely.. ,Lagos,Lagos,Lagos Mainland,,
pedropalmgroove shomolu lagos,1400000,3,2,newly builtlovely.. ,Lagos,Lagos,Shomolu,Pedro,
"lawani street, onike iwayaonike yaba lagos",450000,1,1,just out standard mini flat at lawani onike yaba 450k .. ,Lagos,Lagos,Lagos Mainland,Onike,
ago palace okota lagos,500000,2,1,2 bedroom flat / apartment for rent ago palace okota lagos.. ,Lagos,Lagos,Oshodi/Isolo,,
 south view estate by 2nd tollgate lekkichevron lekki lagos,2000000,2,4,"newly builtrent - #2,000,000 agency - #200,000 legal - #200,000 caution - #200,000 serv.. ",Lagos,Lekki,Eti Osa,Lekki Penninsula II,
adewole kuku street lekki phase 1 lekki lagos,1900000,5,2,rent 1.9m sc 350k legal 10% agency 10%.. ,Lagos,Lekki,Eti Osa,Lekki Phase I,
"sunshine estate, sangotedo roadajah lagos",850000,5,3,rent = 850k agency = 85k legal = 85k caution = 30k service charge = 150k.. ,Lagos,Lagos,Eti Osa,Lambasa,
...allen avenue ikeja lagos,1000000,2,2,to let! to let!! to let!!! 2bedroom flat 2t/2b off awolowo way ikeja in a.. ,Lagos,Ikeja,Ikeja,Allen,
off admirathy road lekki phase 1 lekki lagos,700000,5,1,"rent 700,000k sc 150k agency and legal 160k .. ",Lagos,Lekki,Eti Osa,Eti-Osa,
southern view estate by cheveron tollgatechevron lekki lagos,1500000,2,3,2 bedroom flat / apartment for rent southern view estate by cheveron tollgate ch.. ,Lagos,Lekki,Eti Osa,Lekki Penninsula II,
